                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1843,                0.97725,                 1.0978,                0.77647,                0.84531,                0.84368,                0.51007,                 1.3332,                0.92593,                 1.2641,             0.00046922,             0.00046922,             0.00046922
                      2,                 1.2248,                0.99961,                 1.1153,                0.79541,                0.75461,                0.82689,                0.49862,                   1.35,                 1.0034,                  1.264,             0.00089875,             0.00089875,             0.00089875
                      3,                 1.2204,                 1.0434,                 1.1128,                0.76085,                0.80129,                0.81129,                0.50541,                 1.2914,                0.97584,                 1.2725,              0.0012811,              0.0012811,              0.0012811
                      4,                 1.2514,                 1.0356,                 1.1462,                 0.7802,                0.84925,                0.83459,                0.50632,                 1.3251,                0.96064,                 1.2633,              0.0012168,              0.0012168,              0.0012168
                      5,                 1.2028,                0.97223,                 1.1332,                0.71084,                0.78975,                0.77666,                0.48123,                 1.2752,                 1.0282,                 1.2369,              0.0012168,              0.0012168,              0.0012168
                      6,                 1.2072,                0.94811,                  1.128,                0.81418,                0.81205,                 0.8463,                0.52791,                 1.2786,                0.89831,                  1.234,              0.0011461,              0.0011461,              0.0011461
                      7,                 1.2216,                0.96133,                 1.1303,                0.68523,                0.75443,                0.75918,                0.44809,                 1.3789,                 1.1771,                 1.2765,              0.0010753,              0.0010753,              0.0010753
                      8,                 1.1883,                0.91951,                 1.1159,                0.78229,                0.82753,                0.87023,                0.55334,                  1.275,                0.85106,                   1.22,              0.0010046,              0.0010046,              0.0010046
                      9,                 1.1525,                0.86959,                 1.1034,                 0.8554,                0.80839,                0.88156,                0.56952,                 1.2384,                0.80537,                 1.2443,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.1745,                0.85359,                 1.1077,                0.81538,                0.84018,                0.86458,                0.55089,                 1.2481,                0.85728,                 1.2266,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.1305,                 0.8118,                 1.1303,                0.85245,                0.83026,                0.89523,                  0.578,                 1.2191,                0.76365,                 1.2193,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.1474,                 0.8111,                 1.1396,                0.83872,                0.81038,                0.84128,                0.52773,                 1.2603,                0.86566,                 1.2424,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.1136,                0.74933,                 1.1237,                0.89222,                0.80121,                0.89322,                0.58423,                 1.2515,                0.74399,                 1.2361,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.0772,                0.73575,                 1.1072,                0.89061,                0.86888,                0.91461,                0.59947,                  1.202,                0.69564,                  1.215,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.0852,                0.72386,                 1.1025,                0.89176,                 0.8203,                0.90326,                0.58516,                 1.2449,                0.72736,                 1.2341,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.0723,                0.70615,                 1.0963,                0.88961,                0.82997,                0.89933,                0.57471,                 1.2505,                 0.7183,                 1.2531,              0.0004387,              0.0004387,              0.0004387
                     17,                 1.0559,                0.68254,                 1.0956,                0.91281,                 0.8627,                0.91926,                0.60751,                 1.2203,                0.69641,                 1.2157,             0.00036797,             0.00036797,             0.00036797
                     18,                 1.0322,                0.64624,                 1.0799,                0.89396,                0.85152,                0.90914,                0.57307,                 1.2419,                0.71448,                 1.2659,             0.00029723,             0.00029723,             0.00029723
                     19,                  1.026,                0.63458,                 1.0765,                0.88727,                0.90176,                0.91526,                0.59136,                  1.226,                 0.6942,                 1.2305,              0.0002265,              0.0002265,              0.0002265
                     20,                0.99786,                0.61301,                 1.0712,                0.86949,                0.87873,                0.91534,                0.59731,                 1.2149,                0.68272,                 1.2317,             0.00015576,             0.00015576,             0.00015576
